starttime	seconds	ctime	dtime	ttime	wait
Fri Mar 27 20:34:49 2026	1774640089	119	1119	1238	1119
Fri Mar 27 20:34:20 2026	1774640060	111	1130	1241	1130
Fri Mar 27 20:34:20 2026	1774640060	111	1131	1242	1131
Fri Mar 27 20:34:02 2026	1774640042	120	1122	1243	1122
Fri Mar 27 20:34:09 2026	1774640049	107	1137	1244	1137
Fri Mar 27 20:34:01 2026	1774640041	109	1135	1245	1134
Fri Mar 27 20:32:57 2026	1774639977	113	1133	1246	1133
Fri Mar 27 20:34:09 2026	1774640049	109	1137	1246	1137
Fri Mar 27 20:32:27 2026	1774639947	112	1134	1246	1134
Fri Mar 27 20:34:04 2026	1774640044	128	1118	1246	1118
Fri Mar 27 20:34:04 2026	1774640044	124	1122	1246	1122
Fri Mar 27 20:36:23 2026	1774640183	118	1129	1247	1129
Fri Mar 27 20:36:18 2026	1774640178	110	1137	1247	1137
Fri Mar 27 20:34:04 2026	1774640044	112	1135	1247	1135
Fri Mar 27 20:34:04 2026	1774640044	112	1135	1247	1135
Fri Mar 27 20:33:15 2026	1774639995	113	1134	1248	1134
Fri Mar 27 20:32:36 2026	1774639956	123	1125	1248	1125
Fri Mar 27 20:33:06 2026	1774639986	121	1126	1248	1126
Fri Mar 27 20:34:19 2026	1774640059	112	1137	1249	1137
Fri Mar 27 20:34:15 2026	1774640055	110	1139	1249	1139
Fri Mar 27 20:34:05 2026	1774640045	112	1137	1249	1137
Fri Mar 27 20:36:17 2026	1774640177	121	1128	1249	1128
Fri Mar 27 20:32:27 2026	1774639947	112	1137	1250	1137
Fri Mar 27 20:34:09 2026	1774640049	114	1136	1250	1136
Fri Mar 27 20:34:15 2026	1774640055	111	1139	1250	1139
Fri Mar 27 20:35:32 2026	1774640132	119	1131	1250	1131
Fri Mar 27 20:34:04 2026	1774640044	128	1122	1250	1122
Fri Mar 27 20:34:34 2026	1774640074	122	1128	1251	1128
Fri Mar 27 20:35:42 2026	1774640142	117	1134	1251	1134
Fri Mar 27 20:34:01 2026	1774640041	114	1137	1252	1137
Fri Mar 27 20:34:01 2026	1774640041	115	1137	1252	1137
Fri Mar 27 20:32:41 2026	1774639961	116	1136	1252	1136
Fri Mar 27 20:35:32 2026	1774640132	124	1128	1252	1128
Fri Mar 27 20:33:14 2026	1774639994	109	1143	1252	1143
Fri Mar 27 20:35:39 2026	1774640139	119	1134	1253	1134
Fri Mar 27 20:32:54 2026	1774639974	126	1127	1254	1127
Fri Mar 27 20:32:54 2026	1774639974	127	1127	1254	1127
Fri Mar 27 20:34:01 2026	1774640041	113	1143	1256	1143
Fri Mar 27 20:34:13 2026	1774640053	123	1133	1256	1133
Fri Mar 27 20:32:54 2026	1774639974	126	1130	1256	1130
Fri Mar 27 20:35:30 2026	1774640130	125	1132	1256	1132
Fri Mar 27 20:34:05 2026	1774640045	135	1122	1257	1122
Fri Mar 27 20:32:32 2026	1774639952	126	1131	1257	1131
Fri Mar 27 20:34:19 2026	1774640059	123	1134	1257	1134
Fri Mar 27 20:34:53 2026	1774640093	121	1136	1257	1136
Fri Mar 27 20:36:05 2026	1774640165	122	1136	1257	1136
Fri Mar 27 20:32:47 2026	1774639967	116	1142	1258	1142
Fri Mar 27 20:32:47 2026	1774639967	118	1140	1258	1140
Fri Mar 27 20:34:22 2026	1774640062	119	1140	1259	1140
Fri Mar 27 20:33:57 2026	1774640037	123	1136	1259	1136
Fri Mar 27 20:34:47 2026	1774640087	115	1144	1259	1144
Fri Mar 27 20:36:21 2026	1774640181	115	1144	1259	1144
Fri Mar 27 20:34:03 2026	1774640043	142	1117	1260	1117
Fri Mar 27 20:35:14 2026	1774640114	123	1137	1260	1136
Fri Mar 27 20:34:31 2026	1774640071	127	1134	1261	1134
Fri Mar 27 20:32:57 2026	1774639977	124	1138	1261	1138
Fri Mar 27 20:33:55 2026	1774640035	125	1137	1262	1137
Fri Mar 27 20:35:42 2026	1774640142	113	1149	1262	1149
Fri Mar 27 20:33:59 2026	1774640039	126	1136	1262	1136
Fri Mar 27 20:34:04 2026	1774640044	125	1137	1262	1137
Fri Mar 27 20:33:59 2026	1774640039	121	1141	1262	1136
Fri Mar 27 20:34:01 2026	1774640041	128	1134	1263	1134
Fri Mar 27 20:36:17 2026	1774640177	133	1130	1263	1130
Fri Mar 27 20:34:32 2026	1774640072	111	1152	1263	1152
Fri Mar 27 20:33:07 2026	1774639987	138	1125	1263	1125
Fri Mar 27 20:36:18 2026	1774640178	122	1141	1263	1141
Fri Mar 27 20:33:55 2026	1774640035	129	1134	1263	1134
Fri Mar 27 20:33:35 2026	1774640015	128	1135	1264	1135
Fri Mar 27 20:34:59 2026	1774640099	131	1133	1264	1133
